product_id,product_category_name,base_price
syn_prod_00062,esporte_lazer,179.00
syn_prod_00063,esporte_lazer,160.31
syn_prod_00064,esporte_lazer,189.04
syn_prod_00065,esporte_lazer,224.64
syn_prod_00066,esporte_lazer,209.60
syn_prod_00067,esporte_lazer,86.54
syn_prod_00068,esporte_lazer,42.22
syn_prod_00069,esporte_lazer,105.98
syn_prod_00070,esporte_lazer,95.24
syn_prod_00071,esporte_lazer,82.47
syn_prod_00072,esporte_lazer,247.15
syn_prod_00073,esporte_lazer,232.18
syn_prod_00074,esporte_lazer,105.80
syn_prod_00075,esporte_lazer,182.47
syn_prod_00076,esporte_lazer,124.02
syn_prod_00077,esporte_lazer,240.77
syn_prod_00078,esporte_lazer,138.24
syn_prod_00079,esporte_lazer,94.60
syn_prod_00080,esporte_lazer,90.49
syn_prod_00081,informatica_acessorios,255.51
syn_prod_00082,informatica_acessorios,143.53
syn_prod_00083,informatica_acessorios,264.22
syn_prod_00084,informatica_acessorios,381.68
syn_prod_00085,informatica_acessorios,194.78
syn_prod_00086,informatica_acessorios,127.25
syn_prod_00087,informatica_acessorios,419.08
syn_prod_00088,informatica_acessorios,236.07
syn_prod_00089,informatica_acessorios,79.09
syn_prod_00090,informatica_acessorios,62.67
syn_prod_00091,informatica_acessorios,86.12
syn_prod_00092,informatica_acessorios,280.29
syn_prod_00093,telefonia,424.36
syn_prod_00094,telefonia,254.19
syn_prod_00095,telefonia,89.22
syn_prod_00096,telefonia,235.54
syn_prod_00097,telefonia,518.22
syn_prod_00098,telefonia,303.39
syn_prod_00099,telefonia,506.70
syn_prod_00100,telefonia,455.96
syn_prod_00101,telefonia,65.28
syn_prod_00102,telefonia,391.53
syn_prod_00103,telefonia,373.59
syn_prod_00104,telefonia,307.01
syn_prod_00105,automotivo,111.25
syn_prod_00106,automotivo,227.98
syn_prod_00107,automotivo,62.80
syn_prod_00108,automotivo,163.65
syn_prod_00109,automotivo,169.56
syn_prod_00110,automotivo,325.59
syn_prod_00111,automotivo,301.27
syn_prod_00112,automotivo,110.18
syn_prod_00113,automotivo,184.18
syn_prod_00114,automotivo,83.74
syn_prod_00115,automotivo,312.74
syn_prod_00116,automotivo,299.60
syn_prod_00117,ferramentas_jardim,89.69
syn_prod_00118,ferramentas_jardim,157.79
syn_prod_00119,ferramentas_jardim,151.79
syn_prod_00120,ferramentas_jardim,60.57
syn_prod_00121,ferramentas_jardim,182.50
syn_prod_00122,ferramentas_jardim,137.88
syn_prod_00123,ferramentas_jardim,185.73
syn_prod_00124,ferramentas_jardim,136.07
syn_prod_00125,ferramentas_jardim,30.11
syn_prod_00126,ferramentas_jardim,94.83
syn_prod_00127,ferramentas_jardim,33.90
syn_prod_00128,ferramentas_jardim,215.82
syn_prod_00129,pet_shop,98.11
syn_prod_00130,pet_shop,93.50
syn_prod_00131,pet_shop,42.14
syn_prod_00132,pet_shop,17.68
syn_prod_00133,pet_shop,98.04
syn_prod_00134,pet_shop,104.80
syn_prod_00135,pet_shop,20.39
syn_prod_00136,pet_shop,59.63
syn_prod_00137,pet_shop,18.78
syn_prod_00138,pet_shop,86.54
syn_prod_00139,pet_shop,87.05
syn_prod_00140,pet_shop,24.58
syn_prod_00141,bebes,100.80
syn_prod_00142,bebes,113.47
syn_prod_00143,bebes,65.06
syn_prod_00144,bebes,168.31
syn_prod_00145,bebes,91.93
syn_prod_00146,bebes,56.01
syn_prod_00147,bebes,111.68
syn_prod_00148,bebes,144.09
syn_prod_00149,bebes,54.20
syn_prod_00150,bebes,72.99
syn_prod_00151,bebes,189.18
syn_prod_00152,bebes,130.48
syn_prod_00153,alimentos_bebidas,35.16
syn_prod_00154,alimentos_bebidas,40.09
syn_prod_00155,alimentos_bebidas,15.50
syn_prod_00156,alimentos_bebidas,21.93
syn_prod_00157,alimentos_bebidas,28.96
syn_prod_00158,alimentos_bebidas,44.48
syn_prod_00159,alimentos_bebidas,22.27
syn_prod_00160,alimentos_bebidas,21.65
syn_prod_00161,alimentos_bebidas,12.40
syn_prod_00162,alimentos_bebidas,47.13
syn_prod_00163,alimentos_bebidas,22.19
syn_prod_00164,alimentos_bebidas,64.14
syn_prod_00165,papelaria,47.98
syn_prod_00166,papelaria,8.54
syn_prod_00167,papelaria,16.90
syn_prod_00168,papelaria,38.45
syn_prod_00169,papelaria,15.71
syn_prod_00170,papelaria,11.62
syn_prod_00171,papelaria,51.78
syn_prod_00172,papelaria,33.55
syn_prod_00173,papelaria,28.63
syn_prod_00174,papelaria,44.23
syn_prod_00175,papelaria,45.37
syn_prod_00176,papelaria,14.52
syn_prod_00177,moveis_decoracao,117.19
syn_prod_00178,moveis_decoracao,314.32
syn_prod_00179,moveis_decoracao,309.91
syn_prod_00180,moveis_decoracao,335.54
syn_prod_00181,moveis_decoracao,490.15
syn_prod_00182,moveis_decoracao,457.29
syn_prod_00183,moveis_decoracao,640.66
syn_prod_00184,moveis_decoracao,118.07
syn_prod_00185,moveis_decoracao,297.55
syn_prod_00186,moveis_decoracao,260.19
syn_prod_00187,moveis_decoracao,568.39
syn_prod_00188,moveis_decoracao,206.71
syn_prod_00189,relogios_presentes,197.93
syn_prod_00190,relogios_presentes,358.14
syn_prod_00191,relogios_presentes,341.57
syn_prod_00192,relogios_presentes,252.70
syn_prod_00193,relogios_presentes,234.88
syn_prod_00194,relogios_presentes,652.42
syn_prod_00195,relogios_presentes,354.74
syn_prod_00196,relogios_presentes,614.04
syn_prod_00197,relogios_presentes,421.20
syn_prod_00198,relogios_presentes,111.36
syn_prod_00199,relogios_presentes,699.56
syn_prod_00200,relogios_presentes,598.34
syn_prod_00201,brinquedos,165.29
syn_prod_00202,brinquedos,158.81
syn_prod_00203,brinquedos,147.00
syn_prod_00204,brinquedos,43.28
syn_prod_00205,brinquedos,91.82
syn_prod_00206,brinquedos,50.49
syn_prod_00207,brinquedos,78.96
syn_prod_00208,brinquedos,26.91
syn_prod_00209,brinquedos,75.60
syn_prod_00210,brinquedos,167.77
syn_prod_00211,brinquedos,58.31
syn_prod_00212,brinquedos,137.18
syn_prod_00213,livros_interesse_geral,47.49
syn_prod_00214,livros_interesse_geral,44.99
syn_prod_00215,livros_interesse_geral,86.67
syn_prod_00216,livros_interesse_geral,89.64
syn_prod_00217,livros_interesse_geral,55.35
syn_prod_00218,livros_interesse_geral,68.04
syn_prod_00219,livros_interesse_geral,24.07
syn_prod_00220,livros_interesse_geral,35.14
syn_prod_00221,livros_interesse_geral,87.56
syn_prod_00222,livros_interesse_geral,57.18
syn_prod_00223,livros_interesse_geral,54.29
syn_prod_00224,livros_interesse_geral,70.34
syn_prod_00225,fashion_bolsas_e_acessorios,32.75
syn_prod_00226,fashion_bolsas_e_acessorios,131.83
syn_prod_00227,fashion_bolsas_e_acessorios,116.54
syn_prod_00228,fashion_bolsas_e_acessorios,182.31
syn_prod_00229,fashion_bolsas_e_acessorios,51.60
syn_prod_00230,fashion_bolsas_e_acessorios,202.63
syn_prod_00231,fashion_bolsas_e_acessorios,37.06
syn_prod_00232,fashion_bolsas_e_acessorios,56.94
syn_prod_00233,fashion_bolsas_e_acessorios,133.87
syn_prod_00234,fashion_bolsas_e_acessorios,148.94
syn_prod_00235,fashion_bolsas_e_acessorios,66.22
syn_prod_00236,fashion_bolsas_e_acessorios,44.54
syn_prod_00237,instrumentos_musicais,719.91
syn_prod_00238,instrumentos_musicais,249.74
syn_prod_00239,instrumentos_musicais,504.00
syn_prod_00240,instrumentos_musicais,522.15
syn_prod_00241,instrumentos_musicais,376.03
syn_prod_00242,instrumentos_musicais,496.08
syn_prod_00243,instrumentos_musicais,451.63
syn_prod_00244,instrumentos_musicais,752.34
syn_prod_00245,instrumentos_musicais,219.11
syn_prod_00246,instrumentos_musicais,592.82
syn_prod_00247,instrumentos_musicais,244.24
syn_prod_00248,instrumentos_musicais,358.92
syn_prod_00249,saude_fitness,199.56
syn_prod_00250,saude_fitness,108.50
syn_prod_00251,saude_fitness,112.46
syn_prod_00252,saude_fitness,219.21
syn_prod_00253,saude_fitness,52.77
syn_prod_00254,saude_fitness,147.28
syn_prod_00255,saude_fitness,279.62
syn_prod_00256,saude_fitness,279.04
syn_prod_00257,saude_fitness,52.95
syn_prod_00258,saude_fitness,87.22
syn_prod_00259,saude_fitness,99.97
syn_prod_00260,saude_fitness,263.65
syn_prod_00261,eletrodomesticos,803.50
syn_prod_00262,eletrodomesticos,802.21
syn_prod_00263,eletrodomesticos,389.32
syn_prod_00264,eletrodomesticos,217.77
syn_prod_00265,eletrodomesticos,765.33
syn_prod_00266,eletrodomesticos,659.87
syn_prod_00267,eletrodomesticos,585.46
syn_prod_00268,eletrodomesticos,889.66
syn_prod_00269,eletrodomesticos,619.72
syn_prod_00270,eletrodomesticos,96.34
syn_prod_00271,eletrodomesticos,751.85
syn_prod_00272,eletrodomesticos,332.50
